group,district,age,year,index_1712_100
enslaved,Cape,adults,1708,93.6
enslaved,Cape,adults,1709,95.9
enslaved,Cape,adults,1711,101.6
enslaved,Cape,adults,1712,100.0
enslaved,Cape,adults,1714,99.7
enslaved,Cape,adults,1716,124.3
enslaved,Cape,adults,1717,98.5
enslaved,Cape,adults,1718,121.0
enslaved,Cape,children,1708,79.0
enslaved,Cape,children,1709,95.1
enslaved,Cape,children,1711,114.0
enslaved,Cape,children,1712,100.0
enslaved,Cape,children,1714,75.5
enslaved,Cape,children,1716,101.4
enslaved,Cape,children,1717,63.6
enslaved,Cape,children,1718,94.4
enslaved,StelDrak,adults,1708,68.8
enslaved,StelDrak,adults,1709,83.8
enslaved,StelDrak,adults,1711,81.1
enslaved,StelDrak,adults,1712,100.0
enslaved,StelDrak,adults,1714,100.5
enslaved,StelDrak,adults,1716,135.2
enslaved,StelDrak,adults,1717,143.3
enslaved,StelDrak,adults,1718,146.3
enslaved,StelDrak,children,1708,65.2
enslaved,StelDrak,children,1709,91.0
enslaved,StelDrak,children,1711,98.9
enslaved,StelDrak,children,1712,100.0
enslaved,StelDrak,children,1714,76.4
enslaved,StelDrak,children,1716,84.3
enslaved,StelDrak,children,1717,103.4
enslaved,StelDrak,children,1718,110.1
settler,Cape,adults,1708,104.2
settler,Cape,adults,1709,99.8
settler,Cape,adults,1711,96.1
settler,Cape,adults,1712,100.0
settler,Cape,adults,1714,88.6
settler,Cape,adults,1716,116.9
settler,Cape,adults,1717,95.8
settler,Cape,adults,1718,110.5
settler,Cape,children,1708,94.9
settler,Cape,children,1709,98.8
settler,Cape,children,1711,107.5
settler,Cape,children,1712,100.0
settler,Cape,children,1714,66.2
settler,Cape,children,1716,87.2
settler,Cape,children,1717,79.0
settler,Cape,children,1718,88.2
settler,StelDrak,adults,1708,85.0
settler,StelDrak,adults,1709,99.8
settler,StelDrak,adults,1711,82.4
settler,StelDrak,adults,1712,100.0
settler,StelDrak,adults,1714,73.8
settler,StelDrak,adults,1716,87.9
settler,StelDrak,adults,1717,96.1
settler,StelDrak,adults,1718,99.1
settler,StelDrak,children,1708,87.8
settler,StelDrak,children,1709,95.0
settler,StelDrak,children,1711,110.9
settler,StelDrak,children,1712,100.0
settler,StelDrak,children,1714,73.8
settler,StelDrak,children,1716,86.9
settler,StelDrak,children,1717,101.6
settler,StelDrak,children,1718,109.1
