id,date,year,has_text,V1,V3,V4,who
vc-1700-1,1700-01-01,1700,1,1,0,0,general
vc-1700-2,1700-01-02,1700,1,1,0,0,private_slaves
vc-1700-3,1700-01-03,1700,1,1,0,0,general
vc-1700-4,1700-01-04,1700,1,0,0,0,
vc-1700-5,1700-01-05,1700,1,1,0,0,soldiers_sailors
vc-1700-6,1700-01-06,1700,1,0,0,0,
vc-1700-7,1700-01-07,1700,1,0,0,0,
vc-1700-8,1700-01-08,1700,1,0,0,0,
vc-1700-9,1700-01-09,1700,1,1,0,0,general
vc-1700-10,1700-01-10,1700,1,0,0,0,
vc-1700-11,1700-01-11,1700,1,1,0,0,general
vc-1700-12,1700-01-12,1700,1,1,0,0,soldiers_sailors
vc-1700-13,1700-01-13,1700,1,1,0,0,general
vc-1700-14,1700-01-14,1700,1,1,0,0,settlers
vc-1700-15,1700-01-15,1700,1,1,0,0,general
vc-1700-16,1700-01-16,1700,1,1,0,0,settlers
vc-1700-17,1700-01-17,1700,1,1,0,0,general
vc-1700-18,1700-01-18,1700,1,1,0,0,settlers
vc-1700-19,1700-01-19,1700,1,1,0,0,general
vc-1700-20,1700-01-20,1700,1,1,0,0,general
vc-1700-21,1700-01-21,1700,1,0,0,0,
vc-1700-22,1700-01-22,1700,1,0,0,0,
vc-1700-23,1700-01-23,1700,1,0,0,0,
vc-1700-24,1700-01-24,1700,1,0,0,0,
vc-1700-25,1700-01-25,1700,1,0,0,0,
vc-1700-26,1700-01-26,1700,1,1,0,0,settlers
vc-1700-27,1700-01-27,1700,1,1,0,0,general
vc-1700-28,1700-01-28,1700,1,1,0,0,general
vc-1700-29,1700-01-29,1700,1,1,0,0,soldiers_sailors
vc-1700-30,1700-01-30,1700,1,1,0,0,general
vc-1700-31,1700-01-31,1700,1,1,0,0,khoesan|soldiers_sailors
vc-1700-32,1700-02-01,1700,1,1,0,0,soldiers_sailors
vc-1700-33,1700-02-02,1700,1,0,0,0,
vc-1700-34,1700-02-03,1700,1,0,0,0,
vc-1700-35,1700-02-04,1700,1,0,0,0,
vc-1700-36,1700-02-05,1700,1,0,0,0,
vc-1700-37,1700-02-06,1700,1,1,0,0,settlers
vc-1700-38,1700-02-07,1700,1,1,0,0,general
vc-1700-39,1700-02-08,1700,1,0,0,0,
vc-1700-40,1700-02-09,1700,1,1,0,0,general
vc-1700-41,1700-02-10,1700,1,1,0,0,general
vc-1700-42,1700-02-11,1700,1,1,0,1,general
vc-1700-43,1700-02-12,1700,1,0,0,0,
vc-1700-44,1700-02-13,1700,1,0,0,0,
vc-1700-45,1700-02-14,1700,1,0,0,0,
vc-1700-46,1700-02-15,1700,1,1,0,0,general
vc-1700-47,1700-02-16,1700,1,0,0,0,
vc-1700-48,1700-02-17,1700,1,1,0,0,khoesan|settlers
vc-1700-49,1700-02-18,1700,1,0,0,0,
vc-1700-50,1700-02-19,1700,1,0,0,0,
vc-1700-51,1700-02-20,1700,1,1,0,0,soldiers_sailors
vc-1700-52,1700-02-21,1700,1,1,0,0,general
vc-1700-53,1700-02-22,1700,1,0,0,0,
vc-1700-54,1700-02-23,1700,1,1,0,0,general
vc-1700-55,1700-02-24,1700,1,0,0,0,
vc-1700-56,1700-02-25,1700,1,1,0,0,general
vc-1700-57,1700-02-26,1700,1,1,0,0,general
vc-1700-58,1700-02-27,1700,1,1,0,0,soldiers_sailors|settlers
vc-1700-59,1700-02-28,1700,1,0,0,0,
vc-1700-60,1700-03-01,1700,1,0,0,0,
vc-1700-61,1700-03-02,1700,1,0,0,0,
vc-1700-62,1700-03-03,1700,1,1,0,0,general
vc-1700-63,1700-03-04,1700,1,1,0,0,general
vc-1700-64,1700-03-05,1700,1,0,0,0,
vc-1700-65,1700-03-06,1700,1,1,0,0,general
vc-1700-66,1700-03-07,1700,1,0,0,0,
vc-1700-67,1700-03-08,1700,1,0,0,0,
vc-1700-68,1700-03-09,1700,1,1,0,0,soldiers_sailors
vc-1700-69,1700-03-10,1700,1,1,0,0,general
vc-1700-70,1700-03-11,1700,1,0,0,0,
vc-1700-71,1700-03-12,1700,1,0,0,0,
vc-1700-72,1700-03-13,1700,1,0,0,0,
vc-1700-73,1700-03-14,1700,1,1,0,0,general
vc-1700-74,1700-03-15,1700,1,0,0,0,
vc-1700-75,1700-03-16,1700,1,0,0,0,
vc-1700-76,1700-03-17,1700,1,0,0,0,
vc-1700-77,1700-03-18,1700,1,1,0,0,general
vc-1700-78,1700-03-19,1700,1,0,0,0,
vc-1700-79,1700-03-20,1700,1,0,0,0,
vc-1700-80,1700-03-21,1700,1,0,0,0,
vc-1700-81,1700-03-22,1700,1,1,0,0,general
vc-1700-82,1700-03-23,1700,1,1,0,0,soldiers_sailors
vc-1700-83,1700-03-24,1700,1,1,0,0,soldiers_sailors
vc-1700-84,1700-03-25,1700,1,0,0,0,
vc-1700-85,1700-03-26,1700,1,0,0,0,
vc-1700-86,1700-03-27,1700,1,0,0,0,
vc-1700-87,1700-03-28,1700,1,1,0,0,general
vc-1700-88,1700-03-29,1700,1,0,0,0,
