year,n,V1_disease,V3_smallpox,V4_medicine,V1_rate,V3_rate
1700,365,175,0,5,0.4795,0.0
1701,365,163,0,1,0.4466,0.0
1702,365,164,0,5,0.4493,0.0
1703,365,192,0,3,0.526,0.0
1704,366,174,0,17,0.4754,0.0
1705,365,210,0,14,0.5753,0.0
1706,365,197,0,13,0.5397,0.0
1707,365,198,0,13,0.5425,0.0
1708,366,220,0,15,0.6011,0.0
1709,365,193,0,23,0.5288,0.0
1710,365,173,0,19,0.474,0.0
1711,365,161,0,9,0.4411,0.0
1712,366,128,0,6,0.3497,0.0
1713,365,157,15,13,0.4301,0.0411
1714,365,189,1,14,0.5178,0.0027
1715,365,152,0,6,0.4164,0.0
1716,366,167,0,14,0.4563,0.0
1717,365,133,0,10,0.3644,0.0
1718,365,136,0,9,0.3726,0.0
1719,365,124,0,4,0.3397,0.0
1720,366,115,0,6,0.3142,0.0
