file,variable,type,n_rows,n_missing
analysis_tests.csv,match_id,numeric,28989,0
analysis_tests.csv,innings,numeric,28989,0
analysis_tests.csv,batting_team,character,28989,0
analysis_tests.csv,partnership_number,numeric,28989,0
analysis_tests.csv,batter_1,character,28989,0
analysis_tests.csv,batter_2,character,28989,0
analysis_tests.csv,batter_1_hand,character,28989,1
analysis_tests.csv,batter_2_hand,character,28989,15
analysis_tests.csv,hand_combination,character,28989,16
analysis_tests.csv,is_mixed_hand,numeric,28989,16
analysis_tests.csv,runs_scored,numeric,28989,0
analysis_tests.csv,batter_runs,numeric,28989,0
analysis_tests.csv,balls_faced,numeric,28989,0
analysis_tests.csv,deliveries,numeric,28989,0
analysis_tests.csv,batting_position_1,numeric,28989,0
analysis_tests.csv,batting_position_2,numeric,28989,0
analysis_tests.csv,runs_at_start,numeric,28989,0
analysis_tests.csv,wickets_at_start,numeric,28989,0
analysis_tests.csv,end_reason,character,28989,0
analysis_tests.csv,is_censored,numeric,28989,0
analysis_tests.csv,pre_match_matches_1,numeric,28989,23
analysis_tests.csv,pre_match_innings_1,numeric,28989,23
analysis_tests.csv,pre_match_runs_1,numeric,28989,23
analysis_tests.csv,pre_match_balls_1,numeric,28989,23
analysis_tests.csv,pre_match_dismissals_1,numeric,28989,23
analysis_tests.csv,pre_match_avg_1,numeric,28989,1540
analysis_tests.csv,pre_match_sr_1,numeric,28989,1446
analysis_tests.csv,is_debutant_1,numeric,28989,23
analysis_tests.csv,pre_match_matches_2,numeric,28989,11
analysis_tests.csv,pre_match_innings_2,numeric,28989,11
analysis_tests.csv,pre_match_runs_2,numeric,28989,11
analysis_tests.csv,pre_match_balls_2,numeric,28989,11
analysis_tests.csv,pre_match_dismissals_2,numeric,28989,11
analysis_tests.csv,pre_match_avg_2,numeric,28989,1599
analysis_tests.csv,pre_match_sr_2,numeric,28989,1517
analysis_tests.csv,is_debutant_2,numeric,28989,11
analysis_tests.csv,start_date,Date,28989,0
analysis_tests.csv,venue,character,28989,0
analysis_tests.csv,city,character,28989,3278
analysis_tests.csv,team_1,character,28989,0
analysis_tests.csv,team_2,character,28989,0
analysis_tests.csv,toss_winner,character,28989,0
analysis_tests.csv,toss_decision,character,28989,0
analysis_tests.csv,winner,character,28989,0
analysis_tests.csv,event_name,character,28989,254
analysis_tests.csv,n_left,numeric,28989,0
analysis_tests.csv,n_right,numeric,28989,0
analysis_tests.csv,n_players,numeric,28989,0
analysis_tests.csv,prob_LR_squad,numeric,28989,0
analysis_tests.csv,match_innings_id,character,28989,0
analysis_tests.csv,avg_partnership_quality,numeric,28989,2837
analysis_tests.csv,max_pre_match_avg,numeric,28989,302
analysis_tests.csv,min_pre_match_avg,numeric,28989,302
analysis_tests.csv,combined_experience,numeric,28989,0
analysis_tests.csv,avg_pre_match_sr,numeric,28989,2685
analysis_tests.csv,year,numeric,28989,0
analysis_tests.csv,decade,numeric,28989,0
analysis_tests.csv,era,character,28989,0
analysis_tests.csv,max_bat_pos,numeric,28989,0
analysis_tests.csv,min_bat_pos,numeric,28989,0
analysis_tests.csv,position_group,character,28989,0
analysis_tests.csv,batter_1_team,character,28989,0
analysis_tests.csv,either_debutant,numeric,28989,0
analysis_tests.csv,short_partnership,numeric,28989,0
analysis_tests.csv,run_rate,numeric,28989,1
analysis_tests.csv,hand_known,numeric,28989,0
analysis_tests.csv,both_avg_known,numeric,28989,0
analysis_odis.csv,match_id,numeric,39362,0
analysis_odis.csv,innings,numeric,39362,0
analysis_odis.csv,batting_team,character,39362,0
analysis_odis.csv,partnership_number,numeric,39362,0
analysis_odis.csv,batter_1,character,39362,0
analysis_odis.csv,batter_2,character,39362,0
analysis_odis.csv,batter_1_hand,character,39362,48
analysis_odis.csv,batter_2_hand,character,39362,40
analysis_odis.csv,hand_combination,character,39362,83
analysis_odis.csv,is_mixed_hand,numeric,39362,83
analysis_odis.csv,runs_scored,numeric,39362,0
analysis_odis.csv,batter_runs,numeric,39362,0
analysis_odis.csv,balls_faced,numeric,39362,0
analysis_odis.csv,deliveries,numeric,39362,0
analysis_odis.csv,batting_position_1,numeric,39362,0
analysis_odis.csv,batting_position_2,numeric,39362,0
analysis_odis.csv,runs_at_start,numeric,39362,0
analysis_odis.csv,wickets_at_start,numeric,39362,0
analysis_odis.csv,end_reason,character,39362,0
analysis_odis.csv,is_censored,numeric,39362,0
analysis_odis.csv,pre_match_matches_1,numeric,39362,240
analysis_odis.csv,pre_match_innings_1,numeric,39362,240
analysis_odis.csv,pre_match_runs_1,numeric,39362,240
analysis_odis.csv,pre_match_balls_1,numeric,39362,240
analysis_odis.csv,pre_match_dismissals_1,numeric,39362,240
analysis_odis.csv,pre_match_avg_1,numeric,39362,2159
analysis_odis.csv,pre_match_sr_1,numeric,39362,1748
analysis_odis.csv,is_debutant_1,numeric,39362,240
analysis_odis.csv,pre_match_matches_2,numeric,39362,262
analysis_odis.csv,pre_match_innings_2,numeric,39362,262
analysis_odis.csv,pre_match_runs_2,numeric,39362,262
analysis_odis.csv,pre_match_balls_2,numeric,39362,262
analysis_odis.csv,pre_match_dismissals_2,numeric,39362,262
analysis_odis.csv,pre_match_avg_2,numeric,39362,2085
analysis_odis.csv,pre_match_sr_2,numeric,39362,1729
analysis_odis.csv,is_debutant_2,numeric,39362,262
analysis_odis.csv,start_date,Date,39362,0
analysis_odis.csv,venue,character,39362,0
analysis_odis.csv,city,character,39362,4390
analysis_odis.csv,team_1,character,39362,0
analysis_odis.csv,team_2,character,39362,0
analysis_odis.csv,toss_winner,character,39362,0
analysis_odis.csv,toss_decision,character,39362,0
analysis_odis.csv,winner,character,39362,0
analysis_odis.csv,event_name,character,39362,203
analysis_odis.csv,n_left,numeric,39362,0
