cohort,n,coef,se,ci_lo,ci_hi
2012,141,0.791745848398195,0.0586802512243006,0.676732555998566,0.906759140797824
2013,129,0.727879512046451,0.052227312440534,0.625513979663004,0.830245044429898
2014,119,0.725152845697169,0.0724731966490337,0.583105380265063,0.867200311129275
2015,121,0.653273469343201,0.0631726707642883,0.529455034645196,0.777091904041207
2016,122,0.910223963784393,0.0562580217230078,0.799958241207298,1.02048968636149
2017,128,0.789944828823701,0.0531375338410202,0.685795262495302,0.894094395152101
2018,119,0.896886004315862,0.0646682956681615,0.770136144806266,1.02363586382546
2019,127,0.846955577175563,0.0479857362949402,0.75290353403748,0.941007620313646
2020,126,0.871713069398585,0.0500179978477927,0.773677793616911,0.969748345180258
2021,130,0.862168286198684,0.0534124577751937,0.757479868959304,0.966856703438064
