to_year,n_hh_in_both,slaves_total_prev,slaves_total_now,g_slaves_total,slave_men_prev,slave_men_now,g_slave_men,slave_women_prev,slave_women_now,g_slave_women
1701,102,106,119,0.1226,87,99,0.1379,14,15,0.0714
1702,131,177,153,-0.1356,145,127,-0.1241,23,21,-0.087
1703,131,172,182,0.0581,147,149,0.0136,22,23,0.0455
1704,130,191,197,0.0314,156,161,0.0321,25,28,0.12
1705,160,217,193,-0.1106,179,163,-0.0894,30,20,-0.3333
1706,126,151,176,0.1656,128,146,0.1406,16,21,0.3125
1707,127,152,195,0.2829,124,159,0.2823,18,22,0.2222
1708,133,212,216,0.0189,176,168,-0.0455,27,37,0.3704
1709,189,255,265,0.0392,194,212,0.0928,47,38,-0.1915
1710,157,232,254,0.0948,186,204,0.0968,31,37,0.1935
1711,205,356,370,0.0393,284,294,0.0352,49,49,0.0
1712,157,378,407,0.0767,309,338,0.0939,46,40,-0.1304
1713,144,314,375,0.1943,273,307,0.1245,25,45,0.8
1714,106,254,286,0.126,193,228,0.1813,41,41,0.0
1717,195,575,556,-0.033,465,461,-0.0086,76,61,-0.1974
1718,223,601,621,0.0333,505,514,0.0178,63,72,0.1429
1719,265,649,590,-0.0909,542,487,-0.1015,70,67,-0.0429
1722,182,458,527,0.1507,375,433,0.1547,60,69,0.15
1723,221,582,653,0.122,489,560,0.1452,68,69,0.0147
1724,257,598,653,0.092,505,559,0.1069,71,72,0.0141
1725,262,613,743,0.2121,535,637,0.1907,60,76,0.2667
