year,total,disease,smallpox,khoe_disease,slave_disease,medicine,batavia_medicine,disease_rate_per1000
1685,365,10,0,0,4,1,1,27.4
1686,365,22,0,2,12,7,0,60.27
1687,365,40,0,8,16,9,2,109.59
1689,365,17,0,3,8,4,1,46.58
1690,365,8,0,3,2,1,0,21.92
1692,366,14,0,2,2,2,0,38.25
1693,365,13,0,5,4,3,0,35.62
1694,365,9,0,2,3,1,1,24.66
1695,365,9,0,0,0,1,1,24.66
1696,366,9,0,3,2,4,0,24.59
1697,365,4,0,1,2,4,1,10.96
1698,365,5,0,1,2,1,0,13.7
1699,365,5,0,0,2,3,0,13.7
1700,365,4,0,0,0,0,0,10.96
1701,365,2,0,0,1,0,0,5.48
1702,365,1,0,0,1,2,1,2.74
1703,365,4,0,0,0,0,0,10.96
1704,366,10,0,0,2,9,2,27.32
1705,365,8,0,1,1,1,0,21.92
1706,365,5,0,1,1,7,2,13.7
1707,365,1,0,0,1,1,0,2.74
1708,366,4,0,0,1,6,1,10.93
1709,365,7,0,1,4,8,2,19.18
1710,365,5,0,2,3,10,6,13.7
1711,365,8,0,1,4,2,1,21.92
1712,366,2,0,0,0,2,1,5.46
1713,365,26,15,8,6,3,0,71.23
1714,365,11,1,1,2,1,1,30.14
1715,365,12,0,0,1,1,0,32.88
1716,366,1,0,1,0,9,2,2.73
1717,365,1,0,0,0,6,1,2.74
1718,365,2,0,0,0,3,0,5.48
1719,365,1,0,0,0,3,1,2.74
1720,366,1,0,0,0,2,0,2.73
1721,365,3,0,1,0,2,0,8.22
1722,365,1,0,0,0,0,0,2.74
1723,365,4,0,0,0,5,2,10.96
1724,366,4,1,1,0,7,1,10.93
1725,365,2,0,0,0,7,1,5.48
1726,365,2,0,0,0,2,1,5.48
1727,365,2,0,0,0,5,4,5.48
1728,366,0,0,0,0,1,0,0.0
1729,365,3,0,0,0,1,0,8.22
1730,365,1,0,0,0,1,0,2.74
