id,gV1,gV3,gV4,gWho
vc-1703-318,0,0,0,
vc-1714-296,0,0,0,
vc-1700-147,0,0,0,
vc-1700-34,0,0,0,
vc-1716-145,0,0,0,
vc-1705-173,0,0,0,
vc-1712-90,0,0,0,
vc-1710-166,0,0,0,
vc-1717-105,0,0,0,
vc-1712-66,0,0,0,
vc-1718-313,0,0,0,
vc-1709-179,0,0,0,
vc-1707-26,0,0,0,
vc-1709-302,1,0,0,soldiers_sailors|khoesan
vc-1712-287,0,0,0,
vc-1718-137,0,0,0,
vc-1700-30,0,0,0,
vc-1703-312,0,0,0,
vc-1716-342,0,0,0,
vc-1706-142,0,0,0,
vc-1710-5,0,0,0,
vc-1705-314,1,0,0,soldiers_sailors
vc-1711-130,0,0,0,
vc-1716-148,0,0,0,
vc-1708-106,0,0,0,
vc-1715-169,0,0,0,
vc-1702-219,0,0,0,
vc-1717-273,0,0,0,
vc-1708-174,0,0,0,
vc-1712-91,0,0,0,
vc-1717-289,0,0,0,
vc-1705-193,1,0,0,general
vc-1704-328,0,0,0,
vc-1710-65,0,0,0,
vc-1712-212,0,0,0,
vc-1714-70,0,0,0,
vc-1711-221,1,0,0,soldiers_sailors
vc-1719-52,0,0,0,
vc-1700-311,0,0,0,
vc-1716-346,0,0,0,
vc-1710-30,0,0,0,
vc-1717-216,0,0,0,
vc-1700-215,0,0,0,
vc-1701-349,0,0,0,
vc-1705-302,0,0,0,
vc-1712-317,0,0,0,
vc-1701-194,0,0,0,
vc-1702-145,0,0,0,
vc-1702-91,0,0,0,
vc-1705-153,0,0,0,
vc-1712-260,0,0,0,
vc-1708-10,0,0,0,
vc-1707-102,0,0,0,
vc-1717-229,0,0,0,
vc-1712-85,0,0,0,
vc-1702-319,0,0,0,
vc-1717-66,0,0,0,
vc-1720-216,0,0,0,
vc-1717-108,0,0,0,
vc-1704-239,0,0,0,
vc-1707-143,0,0,0,
vc-1708-282,0,0,0,
vc-1717-67,0,0,0,
vc-1715-363,0,0,0,
vc-1708-281,0,0,0,
vc-1709-165,0,0,0,
vc-1708-128,1,0,0,soldiers_sailors
vc-1706-30,1,0,0,general
vc-1702-250,0,0,0,
vc-1718-186,0,0,0,
vc-1705-353,1,0,0,company_slaves|settlers
vc-1718-34,0,0,0,
vc-1705-336,0,0,0,
vc-1719-213,0,0,0,
vc-1718-242,0,0,0,
vc-1710-256,0,0,0,
vc-1706-227,0,0,0,
vc-1710-292,0,0,0,
vc-1711-236,0,0,0,
vc-1705-89,0,0,0,
vc-1718-162,0,0,0,
vc-1704-154,1,0,0,soldiers_sailors
vc-1720-349,0,0,0,
vc-1701-134,0,0,0,
vc-1719-277,0,0,0,
vc-1716-147,0,0,0,
vc-1719-189,1,0,0,soldiers_sailors
vc-1713-167,0,0,0,
vc-1714-216,0,0,0,
vc-1700-88,0,0,0,
vc-1708-342,0,0,0,
vc-1702-175,0,0,0,
vc-1718-335,0,0,0,
vc-1702-94,0,0,0,
vc-1707-18,0,0,0,
vc-1718-136,0,0,0,
vc-1703-125,0,0,0,
vc-1718-247,1,0,0,soldiers_sailors
vc-1708-2,0,0,0,
vc-1701-146,0,0,0,
vc-1713-246,0,0,0,
vc-1703-156,0,0,0,
vc-1710-8,0,0,0,
vc-1717-267,0,0,0,
vc-1703-321,0,0,0,
vc-1711-283,0,0,0,
