yr,n_inv
1695,4
1696,8
1697,10
1698,4
1699,12
1700,10
1701,11
1702,4
1703,3
1704,6
1705,7
1706,3
1707,4
1708,11
1709,14
1710,8
1711,11
1712,10
1713,54
1714,36
1715,13
1716,9
1717,14
1718,25
1719,16
1720,24
1721,18
1722,13
1723,14
1724,17
1725,11
1726,15
1727,15
1728,14
1729,21
1730,17
1731,21
1732,14
1733,20
1734,22
1735,20
1736,15
1737,23
1738,36
1739,12
1740,22
1741,16
1742,5
1743,11
1744,20
1745,20
1746,18
1747,14
1748,30
1749,16
1750,22
1751,9
1752,30
1753,9
1754,11
1755,57
1756,33
1757,8
1758,14
1759,21
1760,29
1761,43
1762,66
1763,66
1764,56
1765,27
1766,25
1767,40
1768,37
1769,22
1770,41
