year,n_household_rows,slave_men,slave_women,slave_children,slaves_total,settler_men,settler_women,settler_children,settlers_total
1700,260,208,33,18,259,248,120,0,368
1701,519,632,121,21,774,498,269,0,767
1702,312,223,33,9,265,299,130,0,429
1703,255,234,34,18,286,250,126,0,376
1704,298,264,39,14,317,292,130,0,422
1705,301,266,28,16,310,295,140,0,435
1706,247,273,41,17,331,240,135,0,375
1707,265,323,54,23,400,253,141,0,394
1708,318,361,71,27,459,310,149,0,459
1709,382,453,73,33,559,376,162,0,538
1710,291,447,75,36,558,284,157,0,441
1711,291,429,80,39,548,285,159,0,444
1712,366,556,72,47,675,354,185,0,539
1713,307,627,95,38,760,287,142,0,429
1714,271,554,77,37,668,266,132,0,398
1716,349,744,105,48,897,322,152,0,474
1717,371,809,91,52,952,341,177,0,518
1718,386,815,104,54,973,353,181,0,534
1719,389,761,101,53,915,356,181,0,537
1721,362,771,111,45,927,327,188,0,515
1722,346,702,100,40,842,324,173,0,497
1723,405,782,99,35,916,363,190,0,553
1724,412,893,106,40,1039,361,191,0,552
1725,428,1156,127,52,1335,382,208,0,590
