district,year,n_households,slave_men,slave_women,slave_boys,slave_girls,slave_total,knechts,settler_total,settler_men,settler_women,settler_sons,settler_daught
Cape,1700,182,496,53,8,9,566,50,423,172,122,0,129
Cape,1701,240,425,85,13,21,544,83,526,225,142,0,159
Cape,1702,287,468,69,21,18,576,67,705,273,140,147,145
Cape,1703,274,440,90,27,0,557,49,699,261,140,149,149
Cape,1704,286,502,90,39,0,631,64,776,274,163,163,176
Cape,1705,266,539,105,40,0,684,45,766,256,154,177,179
Cape,1706,266,531,92,35,30,688,45,757,257,150,179,171
Cape,1707,252,658,87,24,40,809,36,778,238,166,201,173
Cape,1708,312,885,143,51,62,1141,65,868,294,181,198,195
Cape,1709,298,870,183,63,73,1189,69,864,279,176,224,185
Cape,1711,289,927,189,81,82,1279,77,883,255,183,242,203
Cape,1712,290,927,171,85,58,1241,79,870,273,183,220,194
Cape,1713,189,488,77,31,27,623,72,490,176,101,119,94
Cape,1714,271,931,164,61,47,1203,61,678,256,148,133,141
Cape,1716,377,1151,214,73,72,1510,60,894,322,211,185,176
Cape,1717,319,916,166,50,41,1173,38,764,263,174,156,171
Cape,1718,353,1122,207,75,60,1464,61,869,294,210,183,182
StelDrak,1700,260,208,33,18,16,275,17,530,248,120,0,162
StelDrak,1701,519,632,121,21,32,806,88,1103,498,269,0,336
StelDrak,1702,312,223,33,9,13,278,27,824,299,130,193,202
StelDrak,1703,255,234,34,18,18,304,26,779,250,126,209,194
StelDrak,1704,298,264,39,14,0,317,60,873,292,130,241,210
StelDrak,1705,300,266,28,16,0,310,21,898,295,140,231,232
StelDrak,1706,247,273,41,17,32,363,75,853,240,135,235,243
StelDrak,1707,265,323,54,23,30,430,33,928,253,141,270,264
StelDrak,1708,317,361,71,27,31,490,26,948,309,149,217,273
StelDrak,1709,382,453,73,33,48,607,27,1068,376,162,246,284
StelDrak,1710,291,447,75,36,52,610,28,750,284,157,0,309
StelDrak,1711,291,429,80,39,49,597,31,1063,285,159,311,308
StelDrak,1712,366,556,72,47,42,717,31,1097,354,185,262,296
StelDrak,1713,307,627,95,38,16,776,41,923,287,142,245,249
StelDrak,1714,271,554,77,37,31,699,30,810,266,132,205,207
StelDrak,1716,349,744,105,48,27,924,19,959,322,152,248,237
StelDrak,1717,371,809,91,52,40,992,29,1085,341,177,289,278
StelDrak,1718,386,815,104,54,44,1017,33,1143,353,181,302,307
StelDrak,1719,419,761,101,53,42,957,34,616,0,0,301,315
