ID,Journal,Year,Vol,No,Paper_ID,Title,TitleCaps,Divergence,Depression,Comments,Google14,Google15,Google16,Google17,Google18,Google19,Google20,Google21,Google22,Google23,Google24,Google25,Google26,WebScience15,Pagestart,Pageend,Characters,Continent1,No of authors,Author1,Author1 university,Author1 country,Author2,Author2 university,Author2 country,Author3,Author3 university,Author3 country,Author4,Author4 university,Author4 country,Author5,Author5 university,Author5 country,Author 6,Author6 University,Author 6 Country,Author 7,Author7 University,Author 7 Country,Author 8,Author8 University,Author 8 Country,Author 9,Author 9 University,Author 9 Country,Author 10,Author 10 University,Author 10 Country,Author 11,Author 11 University,Author 11 Country,ID_original,duplicate_entry
1,EREH,1997,1,1,4,Measuring Protection In The Early Twentieth Century,MEASURING PROTECTION IN THE EARLY TWENTIETH CENTURY,0,0,0,41,43,49,49,54,59,63,74,73,71,74,80,77,0,89,125,51,Global,1,Antoni Estevadeordal,Inter-American Development Bank,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,FALSE
2,EREH,1997,1,1,3,Did Tariffs Stifle Spanish Agriculture Before 1936?,DID TARIFFS STIFLE SPANISH AGRICULTURE BEFORE 1936?,0,0,0,16,20,20,23,23,24,27,25,27,28,29,28,28,0,65,87,51,Western Europe,1,James Simpson,Universidad Carlos III de Madrid,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FALSE
3,EREH,1997,1,1,2,Convergence In The Age Of Mass Migration,CONVERGENCE IN THE AGE OF MASS MIGRATION,0,0,0,197,209,225,244,268,284,302,314,339,351,365,368,374,0,27,63,40,Global,2,Alan M Taylor,Northwestern University,USA,Jeffrey G Williamson,Harvard University,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FALSE
4,EREH,1997,1,1,1,Migration As Disaster Relief: Lessons From The Great Irish Famine,MIGRATION AS DISASTER RELIEF: LESSONS FROM THE GREAT IRISH FAMINE,0,0,0,34,45,44,55,67,80,85,90,99,123,128,142,146,0,3,25,65,Britain,2,Cormac O Grada,University College Dublin,UK,Kevin H O'Rourke,University College Dublin,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,FALSE
5,EREH,1997,1,2,4,Anglo-German Productivity Differences 1870–1990: A Sectoral Analysis,ANGLO-GERMAN PRODUCTIVITY DIFFERENCES 1870–1990: A SECTORAL ANALYSIS,0,0,0,51,59,64,69,75,81,86,89,96,98,98,99,102,0,247,267,68,Britain,1,Stephen Broadberry,University of Warwick,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FALSE
6,EREH,1997,1,2,3,"Geography, Exchange Rates And Trade Structures: Germany'S Export Performance Since The 1950S","GEOGRAPHY, EXCHANGE RATES AND TRADE STRUCTURES: GERMANY'S EXPORT PERFORMANCE SINCE THE 1950S",0,0,0,6,5,7,9,11,12,12,13,18,20,23,25,27,0,217,246,92,Western Europe,2,Ludger Lindlar,University of Groningen,Netherlands,Carl-Ludwig Holtfrerich,Freie Universitat Berlin,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,FALSE
7,EREH,1997,1,2,2,"Labour Migration In Southern And Eastern England, 1861–1901","LABOUR MIGRATION IN SOUTHERN AND EASTERN ENGLAND, 1861–1901",0,0,0,24,23,23,25,31,36,38,41,42,43,44,46,48,0,191,215,59,Britain,1,George R Boyer,Cornell University,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,FALSE
8,EREH,1997,1,2,1,"Around The European Periphery 1870–1913: Globalization, Schooling And Growth","AROUND THE EUROPEAN PERIPHERY 1870–1913: GLOBALIZATION, SCHOOLING AND GROWTH",0,0,0,116,127,147,149,163,169,181,196,213,222,225,223,229,0,153,190,76,Global,2,Kevin H O'Rourke,Trinity College Dublin,UK,Jeffrey G Williamson,Harvard University,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,FALSE
9,EREH,1997,1,3,3,Approaching Europe: The Merchant Networks Between Finland And Europe During The Eighteenth And Nineteenth Centuries,APPROACHING EUROPE: THE MERCHANT NETWORKS BETWEEN FINLAND AND EUROPE DURING THE EIGHTEENTH AND NINETEENTH CENTURIES,0,0,0,22,25,30,32,36,39,39,41,37,43,50,49,48,0,323,352,115,Western Europe,1,Jari Ojala,University of Jyvaskyla,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,FALSE
10,EREH,1997,1,3,2,The Human Development Index And Changes In Standards Of Living: Some Historical Comparisons,THE HUMAN DEVELOPMENT INDEX AND CHANGES IN STANDARDS OF LIVING: SOME HISTORICAL COMPARISONS,0,0,0,103,116,128,143,164,178,185,200,214,225,236,256,259,0,299,322,91,Western Europe,1,N F R Crafts,London School of Economics,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,FALSE
