conference,year,day,time,session,session_order,title,authors,affiliations,author_count,raw_text,conf_title,conf_authors,conf_year,time_slot,hour,conf_title_clean,conf_author_clean,matched_id,city,begin_time,end_time,begin_dec,pre_lunch,post_lunch
EHS,2003,Friday,1291-1380,IA: Aspects of Early Commercialisation,3,"The characteristics of creditors and debtors and the role of credit in rural England, c.1291-1380",Christopher Briggs,University of Cambridge,1,"The characteristics of creditors and debtors and the role of credit in rural England, c.1291-1380","The characteristics of creditors and debtors and the role of credit in rural England, c.1291-1380",Christopher Briggs,2003,morning,11,hecharacteristicsofcreditorsanddebtorsandtheroleofcreditinruralnglandc12911380,hristopherriggs,,,,,,,
EHS,2003,Friday,1291-1380,IA: Aspects of Early Commercialisation,3,Merchant adventurer or Jack of all Trades? The Suffolk clothier in the 1460s,Nicholas R Amor,,1,Merchant adventurer or Jack of all Trades? The Suffolk clothier in the 1460s,Merchant adventurer or Jack of all Trades? The Suffolk clothier in the 1460s,Nicholas R Amor,2003,morning,11,erchantadventurerorackofallradesheuffolkclothierinthe1460s,icholasmor,,,,,,,
EHS,2003,Friday,1291-1380,IA: Aspects of Early Commercialisation,3,Structural changes in Scottish foreign trade in the early 17th century,Jennifer Watson,University of Edinburgh,1,Structural changes in Scottish foreign trade in the early 17th century,Structural changes in Scottish foreign trade in the early 17th century,Jennifer Watson,2003,morning,11,tructuralchangesincottishforeigntradeintheearly17thcentury,enniferatson,,,,,,,
EHS,2003,Friday,1291-1380,IB: Eighteenth Century Economic Thought and Government,3,To have or to have not: state finance of the Swiss Republic of Berne in the 18th century,Stefan Altorfer,University of Berne,1,To have or to have not: state finance of the Swiss Republic of Berne in the 18th century,To have or to have not: state finance of the Swiss Republic of Berne in the 18th century,Stefan Altorfer,2003,morning,11,ohaveortohavenotstatefinanceofthewissepublicoferneinthe18thcentury,tefanltorfer,,,,,,,
EHS,2003,Friday,1291-1380,IB: Eighteenth Century Economic Thought and Government,3,Luxury and economics in 18th century Britain and France: the cases of George Berkeley and Richard Cantillon,Scott Breuninger,"Concordia College, USA",1,Luxury and economics in 18th century Britain and France: the cases of George Berkeley and Richard Cantillon,Luxury and economics in 18th century Britain and France: the cases of George Berkeley and Richard Cantillon,Scott Breuninger,2003,morning,11,uxuryandeconomicsin18thcenturyritainandrancethecasesofeorgeerkeleyandichardantillon,cottreuninger,,,,,,,
EHS,2003,Friday,1291-1380,IC: Imperial Trade,3,"Financing business in the Anglo-Egyptian Sudan: the case of the Sudan Plantations Syndicate, 1904-13",Simon Mollan,University of Durham,1,"Financing business in the Anglo-Egyptian Sudan: the case of the Sudan Plantations Syndicate, 1904-13","Financing business in the Anglo-Egyptian Sudan: the case of the Sudan Plantations Syndicate, 1904-13",Simon Mollan,2003,morning,11,inancingbusinessinthenglogyptianudanthecaseoftheudanlantationsyndicate190413,imonollan,,,,,,,
EHS,2003,Friday,1860-1922,IC: Imperial Trade,6,"Free trade and the pursuit of hegemony: imperial Britain in global rubber markets, 1860-1922",Emma Reisz,University of Cambridge,1,"Free trade and the pursuit of hegemony: imperial Britain in global rubber markets, 1860-1922","Free trade and the pursuit of hegemony: imperial Britain in global rubber markets, 1860-1922",Emma Reisz,2003,afternoon,17,reetradeandthepursuitofhegemonyimperialritaininglobalrubbermarkets18601922,mmaeisz,,,,,,,
EHS,2003,Friday,1950-2001,ID: Market Structure and the Firm,6,"Demographic profile of clothing consumers: fashion and the mass consumer society in Britain, c.1950-2001",Shinobu Majima,University of Oxford,1,"Demographic profile of clothing consumers: fashion and the mass consumer society in Britain, c.1950-2001","Demographic profile of clothing consumers: fashion and the mass consumer society in Britain, c.1950-2001",Shinobu Majima,2003,afternoon,17,emographicprofileofclothingconsumersfashionandthemassconsumersocietyinritainc19502001,hinobuajima,,,,,,,
EHS,2003,Friday,1950-2001,ID: Market Structure and the Firm,6,"British Leyland not keeping up with the Jones': competition and survival in the UK car market, 1971-98","British Leyland not keeping up with the Jones': competition and survival in the UK car market, 1971-98",,1,"British Leyland not keeping up with the Jones': competition and survival in the UK car market, 1971-98","British Leyland not keeping up with the Jones': competition and survival in the UK car market, 1971-98","British Leyland not keeping up with the Jones': competition and survival in the UK car market, 1971-98",2003,afternoon,17,ritisheylandnotkeepingupwiththeonescompetitionandsurvivalinthecarmarket197198,ritisheylandnotkeepingupwiththeonescompetitionandsurvivalinthecarmarket,,,,,,,
EHS,2003,Friday,1950-2001,ID: Market Structure and the Firm,6,The MBA in Britain,Joanne Workman,University of Sussex,1,The MBA in Britain,The MBA in Britain,Joanne Workman,2003,afternoon,17,,oanneorkman,,,,,,,
