"row_id","vt_surname","vt_name","name_raw","district","match_score","match_quality","census_id"
1040,"VAN DYK","JOSEPH (RYK JOSEPH)","Van Dyk, Joseph","Albany",0.93,"Good",1
1042,"VAN DYK","ANDRIES JACOBUS","Van Dyk, Andries Jacobus","Albany",0.98,"Good",7
328,"ERASMUS","DANIEL BALTHAZAR","Erasmus, Daniel Balthazar","Albany",0.974,"Good",53
246,"DE WET","PIETER","De Wet, Pieter","Albany",0.83,"Fair",67
248,"DE WET","CHRISTOFFEL JOHANNES","De Wet, Christoffel Johannes","Albany",1,"Good",68
1036,"VAN DYK","SYBRAND","Van Dyk, Sybrand","Albany",0.93,"Good",80
601,"MEYER","WILLEM PETRUS (PIET)","Meyer, Willem Petrus","Albany",0.996,"Good",90
802,"RETIEF","PIETER","Retief, Pieter","Albany",0.968,"Good",95
728,"POTGIETER","MARTHINUS JACOBUS","Potgieter, Marthinus Jacobus","Albany",0.996,"Good",146
40,"BEUKES","CORNELIUS JOHANNES","Beukes, Cornelis Johannes","Beaufort",0.948,"Good",201
443,"JACOBS","DANIEL PIETER","Jacobs, Daniel Pieter","Beaufort",0.972,"Good",234
440,"JACOBS","DANIEL","Jacobs, Daniel","Beaufort",0.888,"Fair",244
354,"FOURIE","DAVID STEPHANUS SR","Fourie, David Stephanus","Beaufort",0.882,"Fair",266
441,"JACOBS","JOHANNES JACOBUS","Jacobs, Johannes Jacobus","Beaufort",0.936,"Good",274
46,"BEZUIDENHOUT","FREDERIK JACOBUS","Bezuidenhout, Fredrik Jacobus","Beaufort",0.922,"Good",281
1045,"VAN EMMENES","GERRIT","Van Emmenes, Gerrit","Beaufort",0.946,"Good",282
347,"ESTERHUIZEN","JAN CHRISTOFFEL","Esterhuizen, Jan Christoffel","Beaufort",0.936,"Good",296
62,"BOTES","ANDRIES STEPHANUS","Botes, Andries Stephanus","Beaufort",0.992,"Good",303
935,"STRYDOM","DAVID JAN JACOBUS","Strydom, David Jan Jacobus","Beaufort",0.998,"Good",338
195,"DE BEER","MATTHYS ANDRIES","De Beer, Matthys Andries","Beaufort",0.984,"Good",359
61,"BOTES","ANTHONIE JOHANNES LOURENS","Botes, Anthonie Johannes Lourens","Beaufort",0.992,"Good",397
66,"BOTES","CAREL FREDERIK","Botes, Charel Fredrik","Beaufort",0.874,"Fair",403
424,"HORN","CHRISTIAAN WYNAND","Horn, Christiaan Wynand","Beaufort",0.996,"Good",430
880,"SMIT","FRANCOIS PETRUS","Smit, Francois Petrus","Beaufort",0.898,"Fair",443
143,"BRONKHORST","HENDRIK LAMBERT","Bronkhorst, Hendrik Lambert","Beaufort",0.956,"Good",455
205,"DE BEER","JACOBUS FREDERIK","De Beer, Jacobus Fredrik","Beaufort",0.886,"Fair",464
982,"VAN DEN BERG","HENDRIK","Van den Berg, Hendrik","Beaufort",0.954,"Good",467
673,"OOSTHUIZEN","JOHANNES JACOBUS SR.","Oosthuizen, Johannes Jacobus","Beaufort",0.966,"Good",471
575,"MARAIS","GERHARDUS PETRUS","Marais, Gerhardus Petrus","Beaufort",0.986,"Good",488
436,"JACOBS","PETRUS JACOBUS","Jacobs, Petrus Jacobus","Beaufort",0.988,"Good",511
453,"JONKER","PIETER","Jonker, Pieter","Beaufort",0.97,"Good",515
454,"JONKER","JOHANNES","Jonker, Johannes","Beaufort",0.954,"Good",516
663,"OLIVIER","ADRIAAN JACOBUS JEREMIAS","Olivier, Adriaan Jacobus Jeremias","Beaufort",0.986,"Good",533
17,"BARNARD","WILLEM HENDRIK","Barnard, Willem Hendrik","Beaufort",0.992,"Good",554
1209,"WEIDEMAN","ROELOF","Weideman, Roelof","Beaufort",0.908,"Good",567
134,"BRONKHORST","LUCAS CORNELIUS","Bronkhorst, Lucas Cornelis","Beaufort",0.808,"Fair",571
135,"BRONKHORST","JOHANNES GERHARDUS STEPHANUS","Bronkhorst, Johannes Gerhardus Stephanus","Beaufort",0.956,"Good",595
740,"PRETORIUS","C(H)AREL (SAREL) JOHANNES","Pretorius, Charel Johannes","Beaufort",0.824,"Fair",618
742,"PRETORIUS","GERHARDUS PETRUS","Pretorius, Gerhardus Petrus","Beaufort",0.95,"Good",619
737,"PRETORIUS","WILLEM STERRENBERG","Pretorius, Willem Sterrenberg","Beaufort",0.894,"Fair",620
433,"JACOBS","PETRUS CASPARUS","Jacobs, Petrus Casparus","Beaufort",0.988,"Good",637
404,"HARMSE","BARTHOLOMEUS","Harmse, Bartholomeus","Beaufort",0.97,"Good",646
887,"SNYDERS","GERRIT CHRISTOFFEL","Snyders, Gerrit Christoffel","Beaufort",0.96,"Good",651
886,"SNYDERS","JOHANNES HENDRIK","Snyders, Johannes Hendrik","Beaufort",0.984,"Good",653
1028,"VAN DER WESTHUIZEN","JOHANNES","Van der Westhuizen, Johannes","Beaufort",0.952,"Good",655
1026,"VAN DER WESTHUIZEN","NICOLAAS","Van der Westhuizen, Nicolaas","Beaufort",0.906,"Good",656
676,"OOSTHUIZEN","CORNELIS ANDRIES","Oosthuizen, Cornelis Andries","Beaufort",0.988,"Good",684
934,"STRYDOM","JOHANNES MATTHYS","Strydom, Johannes Matthys","Beaufort",0.98,"Good",691
937,"STRYDOM","JAN HENDRIK","Strydom, Jan Hendrik","Beaufort",0.99,"Good",695
42,"BEZUIDENHOUT","JOHANNES SR","Bezuidenhout, Johannes","Beaufort",0.894,"Fair",716
920,"STEYN","JOHANNES","Steyn, Johannes","Beaufort",0.844,"Fair",745
923,"STEYN","PETRUS HERMANUS","Steyn, Petrus Hermanus","Beaufort",0.994,"Good",760
922,"STEYN","JACOBUS MARTHINUS","Steyn, Jacobus Marthinus","Beaufort",0.988,"Good",762
283,"DU PLOOY","LEENDERT HENDRIK","Du Plooy, Leendert Hendrik","Beaufort",0.978,"Good",780
1139,"VAN WYK","ADRIAAN JACOBUS ADOLPH","Van Wyk, Adriaan Jacobus Adolph","Beaufort",0.972,"Good",782
637,"NEL","LUCAS MARTHINUS","Nel, Lucas Marthinus","Beaufort",0.98,"Good",783
357,"FOURIE","DANIEL JACOBUS","Fourie, Daniel Jacobus","Beaufort",0.962,"Good",826
877,"SMIT","JOHANNES HENDRIK","Smit, Johan Hendrik","Beaufort",0.93,"Good",852
295,"DU TOIT","ROELOF PETRUS","Du Toit, Roelof Petrus","Beaufort",0.972,"Good",914
182,"COMBRINK","WILLEM ANDRIES","Combrink, Willem Andries","Beaufort",0.97,"Good",915
796,"RAS","MARTHINUS NICOLAAS","Ras, Marthinus Nicolaas","Clanwilliam",0.978,"Good",1118
799,"RAS","CHRISTIAAN DAVID","Ras, Christiaan David","Clanwilliam",0.956,"Good",1120
797,"RAS","HERMANUS NICOLAAS","Ras, Hermanus Nicolaas","Clanwilliam",0.956,"Good",1158
1032,"VAN DEVENTER","JAN GERRITSE","van Deventer, Jan Gerritze","Cradock",0.868,"Fair",1516
1033,"VAN DEVENTER","WILLEM ANDREAS","van Deventer, Willem Andries","Cradock",0.846,"Fair",1517
1064,"VAN NIEKERK","JACOBUS GUSTAVUS","van Niekerk, Jacobus Gustaphus","Cradock",0.888,"Fair",1538
483,"KLOPPER","JOHANNES JACOBUS","Klopper, Johannes Jacobus","Cradock",0.946,"Good",1543
680,"OPPERMAN","GODLIEB RUDOLPH","Opperman, Godlieb Rudolph","Cradock",0.934,"Good",1561
514,"KRUGER","CASPER JAN HENDRIK","Kruger, Caspar Jan Hendrik","Cradock",0.93,"Good",1579
652,"NEL","LOUIS","Nel, Louis","Cradock",0.902,"Good",1592
904,"STEENKAMP","JAN HARMSE","Steenkamp, Jan Harmse","Cradock",0.882,"Fair",1599
378,"GREYLING","ARNOLDUS JACOBUS","Greyling, Arnoldus Jacobus","Cradock",0.952,"Good",1601
685,"PELZER","CAREL JOHANNES","Pelzer, Carel Johannes","Cradock",0.996,"Good",1605
16,"BADENHORST","JACOBUS PETRUS","Badenhorst, Jacobus Petrus","Cradock",0.988,"Good",1622
1182,"VILJOEN","DAVID SCHALK","Viljoen, David Schalk","Cradock",0.974,"Good",1644
499,"KOEKEMOER","DIEDERIK JOHANNES","Koekemoer, Diederik Johannes","Cradock",0.978,"Good",1650
163,"COETZEE","PIETER HENDRIK","Coetzee, Pieter Hendrik","Cradock",0.982,"Good",1655
166,"COETZEE","STEPHANUS HERMANUS","Coetzee, Stephanus Hermanus","Cradock",0.95,"Good",1656
1000,"VAN DER MERWE","PIETER WILLEM","van der Merwe, Pieter Willem","Cradock",0.88,"Fair",1674
99,"BOTHA","PHILIP RUDOLPH","Botha, Philip Rudolph","Cradock",0.828,"Fair",1691
137,"BRONKHORST","JOHANNES","Bronkhorst, Johannes","Cradock",0.94,"Good",1714
768,"PRINSLOO","NICOLAAS JACOBUS (KLAAS)","Prinsloo, Nicolaas Jacobus","Cradock",0.966,"Good",1716
881,"SMIT","ABRAHAM JOHANNES","Smit, Abraham Johannes","Cradock",0.946,"Good",1721
992,"VAN DER MERWE","GERRIT JACOBUS","van der Merwe, Gert Jacobus","Cradock",0.932,"Good",1723
